pros,cons,overall_rating,link,tittle,author,city,state,comment,work_life_balance,compensation_benefits,job_security_advancement,Management,Culture
"[""Tuition reimbursement""]","[""Management doesn't care""]",2.0,https://www.indeed.com/cmp/Elderwood/reviews/elderwood-went-downhill-after-new-owners-took-over?id=5894e8e784c2d7bc,Elderwood went downhill after new owners took over,RN Staff Nurse,Niagara Falls,NY,Elderwood used to be a great place to work but that's not true today. Most of management and employees are so over worked it's a drab environment. The benefits are being cut and seems anything to save a buck including quality of care is sacrificed.,1.0,3.0,3.0,1.0,2.0
[],[],4.0,https://www.indeed.com/cmp/Elderwood/reviews/i-think-it-s-a-stable-company-with-adequate-and-caring-staff?id=a555455730d70149,I think it's a stable company with adequate and caring staff.,RN,Amherst,NY,"I did not know the area when I moved back to Buffalo. I chose the job for location and geriatric care. It has turned out to be a great choice. No place is perfect and there have been ups and downs, but the owners and management have always tried to do the right thing.",4.0,3.0,4.0,4.0,3.0
"[""none""]","[""Short staffing, never get breaks, no respect for employees""]",1.0,https://www.indeed.com/cmp/Elderwood/reviews/do-not-work-for-this-company?id=765d340e23fe9163,Do not work for this company!,RN Staff Nurse,Cheektowaga,NY,"You do not want to work for this company! The administration and management team do not care about their employees and do not care about their residents. All this company cares about is money. Management never has the back of their employees, they often blindside employees with disciplinary actions without asking their side of a situation before deliberating and delivering punishment. Management and administration plays favorites with certain employees that they like and will always go after employees that they do not like. They are always short staffed with nurses and cna's, they receive numerous complaints about short staffing from employees and from residents family members, but they do not care. The administration and management of these facilities have no morals no values, and no respect for their employees. So, if you would like to work for a company that values their employees and respects them, then do not work for Elderwood.",1.0,1.0,1.0,1.0,1.0
"[""not much""]",[],1.0,https://www.indeed.com/cmp/Elderwood/reviews/used-to-be-a-great-comoany?id=d40663c60ab6409b,Used to be a great comoany,Staff Nurse,Amherst,NY,"Elderwood was a great place to work, since the new owners took over, the place has dropped overall. Inappropriate admissions, dementia patients who n Ed more than a locked unit, doctors stopping meds that our dementia people need to keep them calm, now you come upstairs and it sounds like an insane asylum. The food they serve these people is horrendous, the dietary boss spends her days following the maintenance director around. Administrator who has no clue what he is doing, Director of Nursing who spends her days in her office, she has no idea what to do and shows favoritism, CNAs who are the bosses and nurses who just pass meds and sit at the desk.",1.0,1.0,1.0,1.0,1.0
"[""Great place to work""]","[""short staffing""]",4.0,https://www.indeed.com/cmp/Elderwood/reviews/a-friendly-environment?id=6aff48913f5c7035,A friendly environment,RN,Williamsville,NY,"Diverse staff- nurses, nursing assistants and respiratory therapists. Work well together. Occasionally hang out together after work.",4.0,4.0,4.0,4.0,4.0
"[""Great team members""]","[""Job security""]",4.0,https://www.indeed.com/cmp/Vertava-Health/reviews/fun-place-but-worry-about-job-security?id=b4e148011587756f,Fun place but worry about job security,RN Staff Nurse,Cummington,MA,"Fun place to work. Benefits are not great. Pay is acceptable. Patients are well taken care of. I worry about job security in this location due to constant lay offs and then rehiring when census jumps up again. This lacks consistency in patient care and I’m attracting qualified staff to work here full-time. Overall, a good place to work as a side job but not yet consistent enough to work here permanently.",5.0,2.0,2.0,4.0,4.0
"[""Some good people""]","[""Numbers driven, management, pay, insurance a joke with $6'500 deductible""]",2.0,https://www.indeed.com/cmp/Vertava-Health/reviews/adminstration-and-micro-manager?id=4224f93962295c1c,Adminstration and Micro Manager,RN,Southaven,MS,Was great when it was Turning Point now run by clueless Admistration and higj turnover of all heads of departments and all staff. DON is a fill in and is a micr-manager witj ridiculous demands on nursing,2.0,2.0,1.0,1.0,2.0
"[""Helping people who are suffering.""]","[""Short staffing and little support.""]",1.0,https://www.indeed.com/cmp/Vertava-Health/reviews/right-idea-wrong-execution?id=19baaa1d9fe6cf2f,"Right idea, wrong execution",Staff Nurse,Sherrodsville,OH,"Management has no formal training in addiction medicine nor experience working in behavioral health settings. No policy and procedure manuals or addiction training are provided. Patients are not screened properly, if at all, before arriving to facility. There is no nurse to nurse reporting when coming from hospitals even if they were originally pink slipped and patients often present with complex psychological disorders and medical conditions that we aren't equipped to handle. Nurses often work alone without aides and improper assessments must be performed and documented to complete duties. Patients come for the resort atmosphere advertised and discover bait and switch tactics when it's too late to turn back. They often take it out on the nurses. DON has placed family members in key positions to form a unified front. Your prior experience and education in behavioral health will not be useful. You must be able to adapt to their way of doing things. This is a job and not a career.",2.0,2.0,2.0,1.0,2.0
[],[],1.0,https://www.indeed.com/cmp/Vertava-Health/reviews/dictatorship?id=255ae302c5d95805,Dictatorship,RN Staff Nurse,Scurry,TX,I'll start with the positive: Good pay (with experience). Good work hours.  Negatives: Toxic work culture. Lack of standards and protocols. Nursing leadership is extremely authoritarian. You are discouraged from asking questions. There is no standardized training. There's a lack of support from leadership. Work environment is punitive and dishonest. Wouldn't recommend. and dishonest. Wouldn't recommend. punitive.pun,3.0,3.0,1.0,1.0,1.0
"[""Ceo, food, some good people""]","[""Drama and negativity are always present""]",4.0,https://www.indeed.com/cmp/Vertava-Health/reviews/rough-around-the-edges-but-some-good-people?id=2f5358650f572203,"Rough around the edges, but some good people",Registered Nurse (RN),Sherrodsville,OH,"There are some who genuinely care, and some who you are sure are only there for their salary. CEO is down to earth and his office is always open. He loves to talk to his employees and hear their feedback. Management cares...for the most part. Work is busy but easier than other jobs. Being a part of helping the patients take their first steps to recovery is rewarding. Biggest problem is the drama and negativity. You can identify quickly who perpetuates it. But if you bond with the right people, you can make it through and say you had a good day.",5.0,4.0,4.0,3.0,3.0
"[""The lunch program (buy into the cafeteria plan)""]","[""price of health benefits""]",5.0,https://www.indeed.com/cmp/Vertava-Health/reviews/great-community?id=532cb37ee8fe2e80,Great community!,RN,Cummington,MA,"I have been working for Addiction Campuses (Swift River, Cummington, MA) since June 2017. I have not had a job that I have loved more. The way that all the staff work together to help the clients is amazing. I have not worked with a more dedicated staff, ever. People go out of their way to make sure that the clients get the most out of their stay, it's not just a paycheck here, it's so much more. I find myself learning more and more about addiction medicine the longer I work there. It is fast paced, hard work. The company is good to their employees and the nursing director works with the staff to make sure everyone gets a vacation and works hard to staff the floor. It's very rewarding work, amazing to see the clients come in and make changes before your eyes. We've expanded and need some more nurses... come on down!",5.0,4.0,4.0,4.0,5.0
[],[],4.0,https://www.indeed.com/cmp/Randstad/reviews/travel-assignment?id=513473862b0b2717,travel assignment,Registered Nurse,Austin,TX,"I has a travel assignment to UMC New Mexico level 1 Trauma Center, Manager was very receptive of my needs due to family medical emergency. The hardest part of this job was traveling to a different city during stressful times for the family.",4.0,4.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/Randstad/reviews/great-experience?id=214406e3cd7ba47b,Great experience!,RN,Baltimore,MD,"I stayed with this company and my recruiter for over 5 years! I was treated beyond exceptional. If my recruiter was out of office, there was always a friendly coworker to correspond with. they feel like family. Love, Love, LOVE them !",5.0,5.0,5.0,5.0,5.0
"[""Casual, independent atmosphere, flexible schedule, and great managers""]","[""contract, no paid days off, can make up time though, no vacation or benefits unless you buy through staffing agency, or on your own.""]",4.0,https://www.indeed.com/cmp/Randstad/reviews/staffing-agency-that-finds-a-fit-for-you-and-employers?id=07b9e9f9252523a5,Staffing agency that finds a fit for you and employers,RN Care Reviewer/Contract,Parsippany,NJ,"I enjoyed working contractual for Randstad, there is possibility of being hired into contract position, but the company I worked for was restructuring and downsizing, and relocating to Florida, so I was unable to become permanent, I enjoyed the work and learned much about care review/management and computer based correspondence, as all of the work is through computerized systems and knowing how to use different systems and programs, learning/understanding technology is vital for working in this field.",4.0,3.0,3.0,3.0,3.0
[],[],4.0,https://www.indeed.com/cmp/Randstad/reviews/travel?id=172ff6fb2a076a98,travel,Staff RN,Baltimore,MD,It was a travel position. I had not problem with the company. I just could not manage working travel and plan my future. Over all the management was good.,5.0,5.0,4.0,4.0,5.0
"[""They have more travel jobs. They do not take long to hire.""]","[""3-4 weeks without pay on a new assignment. healthcare benefits poor.""]",3.0,https://www.indeed.com/cmp/Randstad/reviews/quick-to-hire?id=183ee2f3fbd29805,Quick to hire.,Staff RN,Providence,RI,Healthcare insurance very poor.  Your 1st pay is paid after 3 or 4 weeks without pay on a new assignment.  Poor travel benefits.  They have more travel jobs.,3.0,3.0,3.0,3.0,3.0
"[""mandatory breaks""]","[""not enough nurses""]",3.0,https://www.indeed.com/cmp/Randstad/reviews/first-travel-assignment?id=ee73dd82e4392982,First Travel Assignment,RN,Las Vegas,NV,"I took a contract assignment in Las Vegas 4 blocks from the new strip. I learned a lot about medical ICU at this assignment. However, many of the nurses were foreign and were hard to understand. It was hard to get ahold of physicians at work. The hardest part of the job was withdrawal of care especially on visitors to Las Vegas. The most enjoyable parts of the job was watching your patient recovering from a traumatic experience",3.0,5.0,2.0,2.0,2.0
[],[],4.0,https://www.indeed.com/cmp/All's-Well/reviews/staffing-agenccy?id=aae37a76a4c7dc23,Staffing Agenccy,Concurrent Review RN,Tampa,FL,"Very Professional; if there were any concerns with my contract, they were handled in a concise and professional manner.",4.0,4.0,4.0,4.0,4.0
[],"[""Poor assessment of placement and misinformation on salary""]",2.0,https://www.indeed.com/cmp/All's-Well/reviews/poor-assessment-of-employers-needs?id=ae79dad5acfe7656,Poor assessment of employers needs,RN,San Marcos,CA 92069,My recruiter misquoted my compensation package. Then tries to get my contract released so I could be a direct hire and then the company changed the wage the computer availability and the offer. When I saw additional posting for which I qualified I was not being submitted and emailed the recruiter. Now that person has left and another recruiter submitted me for an interview which was pulled a few hours before the scheduled appointment. Four days later to find the company has no position. As a recruiter i see they must be so eager to accept and fill contracts they see not vetting their companies sufficiently.,2.0,1.0,1.0,1.0,1.0
"[""Flexible hours""]","[""None""]",5.0,https://www.indeed.com/cmp/All's-Well/reviews/a-great-learning-experience?id=7c0b23a359ecffd7,A great learning experience,Registered Nurse,Los Angeles,CA,"See earlier assessment with Hyperbaric treatment. Assisting with outpatient angiograms. Utilizing the nursing process pre, during and post procedure.",5.0,5.0,5.0,5.0,5.0
[],[],4.0,https://www.indeed.com/cmp/US-Nursing/reviews/rapid-response-healthcare-staffing-therefore-inconsistent-opportunities-available-however-when-opportunities-avail-themselves-this-company-does-is-go?id=9d77dfffabd60a7e,Rapid response healthcare staffing therefore inconsistent opportunities available. However when opportunities avail themselves this company does is go,"Emergency Department, Registered Nurse Emergency",Vacaville,CA,I would recommend this company. This company opportunities include rapid responses and short term positions. The company is a responsive employer however can become chaotic during employment for an assignment. This company is constantly tweaking to make the onboarding process more efficient and user-friendly.,3.0,5.0,4.0,4.0,4.0
[],[],1.0,https://www.indeed.com/cmp/US-Nursing/reviews/unorganized?id=99bd778df1d6c27e,Unorganized,Staff Nurse,,,The company is very unorganized. The company lacks communication among each other. Multiple calls from different agents stating contradictory information pertaining to the same subject.,1.0,3.0,1.0,1.0,1.0
"[""Work every day with mandatory OT""]","[""Lots.""]",1.0,https://www.indeed.com/cmp/US-Nursing/reviews/no-job-security-and-you-work-your-butt-off?id=32d7a7c7378b6914,No job security and you work your butt off.,RN Staff Nurse,Denver,CO,"It was good way back in the day, but no loyalty now. The on-site manager was known to send people home if she didn’t like them and you could never go to them with issues. Shift assignments went to their pets and you were randomly mandated to take a day off if they brought too many people in.",1.0,3.0,1.0,1.0,1.0
"[""Traveling""]","[""Benefits""]",3.0,https://www.indeed.com/cmp/US-Nursing/reviews/flexible-scheduling?id=ca9c7dcc908e64c1,Flexible scheduling,Registered Nurse,Chattanooga,TN,It used to be owned and operated by a single owner and at the time I traveled they were the best paying travel company . Then the owner passed away and the company incorporated and now they have it divided up into so many different categories of pay vs benefits that now you pretty much just go with the travel company that can put you in the location you want,4.0,3.0,3.0,3.0,3.0
[],[],4.0,https://www.indeed.com/cmp/US-Nursing/reviews/standard?id=540b40ef0247cc64,Standard,Registered Nurse,Santa Clara,CA,The standard one would expect from any healthcare institution. Culture is congruent with the culture of the city it sits in. Work day is standard. 1234,4.0,4.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/i-love-traveling-assignments?id=cf77773addd230ba,I love traveling assignments,Registered Nurse-TRAVEL,Bronx,NY,"Most assignments were to busy units and when assigned unit was not busy, the travel nurse floated first. Host hospitals were easy to work for, never had any conflict, always had any issues resolved quickly and fairly.",5.0,4.0,4.0,5.0,5.0
"[""my recruiter and the salary was above average.""]",[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/many-travel-assignments?id=fb586d36347d3eb2,Many travel assignments,Registered Nurse,,,I loved all my temporary travel assignments. Labor and Delivery always had many to choices.,,,,,
"[""Mileage reimbursement, Benefits, Pay rates""]","[""Sometimes a long distance to isolated locations.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/variable-schedules-allowed-to-refuse-certain-assignments?id=e75a55375257b01b,"Variable schedules, Allowed to refuse certain assignments,",Registered Nurse,Chico,CA,"Nurses and Professionals Healthcare is a local registry started by an RN about 1990. Over the years moved from a two room office in Paradise, CA to a large office complex in Chico. I have worked with this agency since 1994 and have enjoyed my experiences.  A typical day involved organizing the different locations around the state that I was assigned to work. My furthest location was 390 miles from home. I learned to be flexible with assignment requirements and was able to rely on office staff to manage housing, reimbursement of expenses, and to handle any emergencies.  I rarely saw any of my registry coworkers at distance sites but were always cordial.  The hardest part was learning new charting programs at different sites; up to four in a week. Developing proficiency in any one program was difficult.  I most enjoyed the scenic drives through the heart of California and seeing many new areas I have never seen.",5.0,5.0,5.0,5.0,5.0
[],[],2.0,https://www.indeed.com/cmp/Registry/reviews/registry-nursing-is-not-recommended?id=c5789c91cf5a9569,Registry Nursing is not recommended,RN,San Jose,CA,"Again, I find these survey questions annoying. I do not like working as a registry nurse and I do not recommend it to any one. You shouldn't bait and switch people on this site.",2.0,2.0,2.0,2.0,2.0
"[""Free continuing education programs""]","[""not much room for advancement in my department""]",3.0,https://www.indeed.com/cmp/Registry/reviews/see-below-for-my-review?id=e81b64417b806560,See below for my review.,RN,Palm Desert,CA,I enjoy working as a nurse and working with an interdisciplinary team of healthcare professionals. A typical day at my present employment includes working with parents of infants in preparation for discharge and providing parents with the tools and skills necessary to succeed.,3.0,3.0,3.0,3.0,3.0
"[""Great co-workers, great medical director, great workload""]","[""only con was Less money for working for no benefits.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/enjoyable-atmosphere-to-work-in-good-relationships-with-coworkers-doctors-and-clients?id=cace1cb2cc47892c,"Enjoyable atmosphere to work in; good relationships with coworkers, doctors, and clients",Staff RN,West TN Healthcare in Jackson,TN,"I worked in Occupational Medicine/Employee Health. We were responsible for giving and reading all employee TB skin tests as well as other immunizations that were needed for work. Our department was also contracted with some local business to do physical assessments and drug screens on their prospective hires. I enjoyed learning the proper way to do a physical assessment. Finding out everything that is involved in doing a drug screen Correctly was very interesting - and finding out the ways people would try to get around it! I always enjoyed my co-workers. Many of us had known each other and worked together in other areas of the hospital for years. I enjoyed everything about the job, including the boss. I think the hardest part of the job was the pay. They were not of the mindset that your pay should be More than average if you are not receiving benefits. As a result, the pay was lower than a new nurse coming in. But I still loved it - fantastic working environment. Miss it.",5.0,3.0,3.0,5.0,5.0
"[""salaries/wages are paid on time""]","[""there is no job security and benefits""]",4.0,https://www.indeed.com/cmp/Registry/reviews/good-place-to-work-for-enrtry-level?id=c6a6cfe506b3cb30,good place to work for enrtry level,Staff Nurse,Schaumburg,IL,"It is a staffing and caregiving agency. There is no job security. When your patient dies, you lose your job and would wait for days and months before you are given another assignment.",4.0,1.0,2.0,3.0,3.0
"[""Opportunity for overtime""]","[""Pet friendly housing availability""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-working-assignment?id=d04113ebdc4a2150,Good working Assignment,RN Travel Nurse,Winchester,VA,"Flexible hours and excellent pay. Opportunity to meet great people. Travel to New areas and learn more about Healthcare. Great Opportunity for overtime, pet friendly housing included.",5.0,5.0,5.0,5.0,5.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/lies?id=535d87c48522a2cb,Lies,RN Travel Nurse,Toledo,OH,They “promised” Covid pay in the contract but it was not paid. I was a counselor to my recruiter. When I got Covid I was let go from my contract after working 2 extra days almost weekly.,3.0,3.0,1.0,1.0,1.0
"[""Travel""]","[""Creditialing, low pay""]",2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/creditialing?id=7ce67e43fd6178f2,Creditialing,Registered Nurse,Boca Raton,FL,No smooth process. Multi submission of documents due to system issues. Difficult to complete if you have to speak to a different person each time. Errors made by associates. Low pay on contracts.,3.0,2.0,1.0,1.0,1.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/productive?id=57be90e4141b4767,Productive,RN Staff Nurse,Houston,TX,I have enjoyed my time there. Management is good and pays attention to your needs. I feel valued as an employee bug wish work life balance was better.,,,,,
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/horrible-people-that-doesn-t-care-about-their-staff?id=ddc2259b0cb81477,Horrible people that doesn't care about their staff,RN,,,Worst place to work. They don't care about you and will stiff you of your pay. Wasted my time to go work for them and I was never paid. Horrible experience for me. Put me off travel nursing.,1.0,1.0,1.0,1.0,1.0
"[""Pay""]","[""Healthcare""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/great-pay-great-recruiter?id=5e7af56dddce4725,"great pay, great recruiter",RN,Tampa,FL,"I really love working here, I love my recruiter who works hard to get contracts for me that suit my needs. I wish there were more available contracts.",4.0,5.0,3.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/amazing-travel-company?id=14eb0de9cad76e5a,Amazing travel company,RN,Boca Raton,FL,"I have completed 6 travel assignments with them. My recruiter has been awesome, all other supportive staff has been amazing. No payroll issues, checks have been on time and correct for each assignment.",5.0,5.0,4.0,5.0,5.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/worst-travel-agency?id=2691452457201e0d,Worst travel agency,RN,Toledo,OH,This is the worst agency I’ve ever had a contract with — poor communication and zero support. My contract ended in 2020 and I am STILL upset about the whole experience. AVOID!,1.0,1.0,1.0,1.0,1.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/overall-good-experience?id=bc85571c5bc9960b,Overall good experience,Registered Nurse,,,Overall good experience on multiple assignments. My recruiter was very responsive and had a good working relationship. Had one bad experience on one assignment and wasn’t well supported by company.,4.0,4.0,3.0,3.0,3.0
"[""Paychecks on time, no issues, very straightforward.""]","[""N/a""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/my-recruiter-was-respectful-and-answered-all-questions-worked-with-them-for-a-year-paychecks-are-always-on-time-had-no-issues-at-any-of-my-jobs?id=c893edda9461ec11,"My recruiter was respectful and answered all questions. Worked with them for a year. Paychecks are always on time, had no issues at any of my jobs",RN,,,"My recruiter was respectful and answered all questions. Worked with them for a year. Paychecks are always on time, had no issues at any of my jobs. Very responsive you can always reach someone.",5.0,5.0,3.0,5.0,3.0
"[""I can't think of any""]","[""Lack of recruiter support when issues came up.""]",3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/i-can-t-think-if-anything-that-stands-out-benefits-are-not-as-plentiful-as-other-companies?id=fa279875c10e9eba,I can't think if anything that stands out. Benefits are not as plentiful as other companies,RN Travel Nurse,Well Care,Wilmington,Did not feel my recruiter stood up for me when needed and allowed me to be transferred from the original contract area to another area without asking if I wanted to go to the new area. An issue came up while working with this company and I didnt feel as though I had any back up.,3.0,3.0,2.0,2.0,2.0
[],[],2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/you-have-to-stay-on-top-of-recruiter?id=9384478ec5f7c242,You have to stay on top of recruiter...,Registered Nurse,Greater Cleveland,Found that had to frequently direct and then redirect recruiter in obtaining placements and answers.  Be careful. They ask you to pay for things up front and say they will will reimburse you sometimes over $300 up front prior to working things and when say no they continue to ask you to pay saying will be reimbursed. Say they cover expenses to get ready for the job Such as drug testing and vaccinations. Was told needed a current vaccination that had they told me 2 days earlier could have gotten at doctor office when there but as such would have had to make another appointment so while getting drug tested and fit tested was given vaccine and theythen come back and say that not covering that so they end up taking it out of paycheck.  Management is so so.  Poor turn around on answering questions answered.,2.0,2.0,2.0,1.0,1.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-communication?id=8400b3ab1ed03072,Good communication,Registered Nurse,Salisbury,MD,Staff will work with you to get the assignment and compensation you desire. Very organized and responsive. Staff is friendly and always willing to answer questions.,3.0,5.0,5.0,5.0,5.0
"[""Several job and location choices""]","[""No loyalty, take money away if you miss a day of work, too much overhead staff""]",1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/they-don-t-have-your-back-but-always-side-with-the-company-you-re-currently-working-at-if-something-goes-wrong?id=7b2770be6ab9185a,They don’t have your back but always side with the company you’re currently working at if something goes wrong,Registered Nurse,,,"They don’t have their employees backs whenever the company you’re working at tells blatant lies, you get physically attacked by a pt and they drop you like a hot potato! They take money away from your pay if you miss a day of work even though we already don’t get paid since we have no sick day pay. They have way too many hands in the cookie jar that with every assignment your core team always changes!!",1.0,2.0,3.0,1.0,2.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/have-completed-a-few-travel-assignement-and-did-not-have-a-problem?id=74a5df774ebb0635,Have completed a few travel assignement and did not have a problem.,RN,,,"Work-life balance Work-life balance at RNnetwork is travel nursing contract negotiations  Management In general, managers at RNnetwork easy to communicate with",4.0,4.0,4.0,4.0,4.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/my-recruiter-was-great?id=9db9b230e54d717b,My recruiter was great,RN,Boca Raton,FL,My recruiter looked out for me and my interests. She would call and check on me to make sure everything was doing ok. The only complaint I had was that the hospital canceled my contract with no warning and RN network did not offer any compensation for my immediate loss of work,4.0,4.0,3.0,4.0,4.0
"[""24/7 support""]","[""Changes in ancillary staff not being communicated in timely manner.""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/traveler-support-services-are-changing-i-have-a-great-relationship-with-my-recruiter-and-am-very-happy?id=db2afc7807f84af5,Traveler support services are changing. I have a great relationship with my recruiter and am very happy.,RN Travel Nurse,Tulsa,OK,"Travel nurses need support services that they can count on, I have been pleased with the results. My recruiter has been great fun and great at her job.",4.0,4.0,3.0,2.0,4.0
[],[],2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/if-you-dont-mind-working-alone-and-like-to-travel-this-job-is-for-you?id=2c49fdae11189f4c,"If you dont mind working alone, and like to travel - this job is for you.",RN,Boca Raton,FL,Typical day at work depends on what area of facility/hospital you work in. You will learn how travel nurses are received at a facility. Management changes hands with your shift schedules. Workplace culture is great.,3.0,2.0,1.0,1.0,2.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/great-experience-great-company?id=7a3dca7c4b306b3f,Great experience! Great company!,Registered Nurse,Boca Raton,FL,"RNnetwork is a travel nurse agency with great benefits and insurance. Part of my review is skewed because it’s having to evaluate where I’ve worked which RNNetwork has no control, as they found me an assignment and place to work so things like making me feel inclusive, or management isn’t totally about RNnetwork but where I was assigned. RNnetwork is a great company and I thoroughly enjoyed working with them. They were always there for me when I needed them.",4.0,4.0,4.0,4.0,4.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/decent-recruiters?id=2b966e9e891b028e,Decent recruiters,Traveling Registered Nurse,Boca Raton,FL,"Good people to work for. Recruiters are good and try to get you decent pay packages. Travel nursing as a whole is going downhill, but some companies try to make the most of it still.",2.0,2.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/it-was-ok?id=b24cf916ec9673e8,It was ok.,RN,,,I think my recruiter could have been more support at the time. I understand they need to get people into the job but during this time they should have been more support to the employee,3.0,3.0,2.0,1.0,2.0
"[""Opportunity for overtime""]","[""Pet friendly housing availability""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-working-assignment?id=d04113ebdc4a2150,Good working Assignment,RN Travel Nurse,Winchester,VA,"Flexible hours and excellent pay. Opportunity to meet great people. Travel to New areas and learn more about Healthcare. Great Opportunity for overtime, pet friendly housing included.",5.0,5.0,5.0,5.0,5.0
"[""Pay check is timely""]","[""I worked for a facility with poor conditions""]",2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/well?id=48db3db4fa71398c,Well.,REGISTERED PROFESSIONAL NURSE,,,"The company doesn’t do the work for you. You have to do all the connecting by yourself ( I. E. the license, the room and board, the drug and health screening and the actual job), as the company is not local; they just pay you. In some cases, you have to find your own work. If you happen to allow them to hook up room and transportation, make sure you have ( or they provide you with) a reliable way of getting to work; it could 30 miles away from where you live! ....🙄😕.",3.0,3.0,2.0,1.0,2.0
"[""Excellent tips if needed.""]",[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/would-certainly-work-there-again-if-decided-to-travel?id=1fe5c71b5e4e1486,Would certainly work there again if decided to travel.,Registered Nurse,Boca Raton,FL,"Excellent place to work. Help was readily available when needed. My resource person was easy to get in contact with, and provided valuable insight to a potential problem.",5.0,5.0,5.0,5.0,4.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-sad-environment?id=2054898ffe2d70ee,Very sad environment,RN Staff,Nashville,TN,"They never support their workers, it has been the worse experience in my life. I can't say anything good about this Company . Every time I had a concern, nobody gave me answers",1.0,1.0,1.0,1.0,1.0
"[""travel, good money""]","[""away from home for months""]",4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/working-for-rn-network-was-a-great-experience?id=73e1d1427697e055,working for RN Network was a great experience,RN Staff Nurse/traveler,Boca Raton,FL,I worked with RN network as a traveler to different areas of the country. I never went to the actual office in Florida. Spoke with them on the phone often and had a recruiter that worked closely with me and was always there for me.,5.0,4.0,4.0,4.0,4.0
"[""medical, dental and vision coverage""]","[""couldnt always reach benefits persons or recruiter""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/staff-works-hard-to-get-you-hired?id=c7193ddf255b06dc,staff works hard to get you hired,RN,Boca Raton,FL,"staff works hard to get you hired. working at different facilities on a frequent basis gives you the opportunity to learn about new medical issues - equipment, care of specialty patients, other ancillary staff, new MD interns. Must be able to navigate in any new city they send you to and find your own accomidations if necessary. Must provide some of your own equipment to perform daily duties - O2 sat probe, stethoscope, pill cutter, pill crusher, vein finder if affordable.",5.0,5.0,2.0,4.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-work?id=90f245ab1a35b403,Good work,Registered Nurse,Boca Raton,FL,Solid travel company doing the best they can to offer contracts in a variety of locations with moderate pay for market competition. Recruiters are hospitable and truly care that you are happy.,5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/na?id=5035240810b487c4,na,Registered Nurse,,,"nice company to work for. pay was great..staff members were helpful. RN network help me build my skills to become a better nurse. if I had to choose them again, I will.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-company?id=031ec4bd340622bf,Good company,STAFF RN,Boca Raton,FL,Helps you get established in your field when you are new to the area. Everyone was very helpful and nice to work with during my transition of employment.,3.0,3.0,3.0,3.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/exciting-adventure?id=528da06f372374a7,Exciting adventure,Staff Nurse,,,"Traveling was truly and adventure. Management worked with what you were looking for, housing was always great and assignments were fun and adventurous. Areas always had a lot of things to do when not working.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/travel-agency-work?id=235288c12ea9767f,Travel agency work,Registered Nurse,Boca Raton,FL,"Working with this travel agency was nice, my recruiter was great and handled everything in a professional manner. The travel agency found work in areas that I requested.",3.0,3.0,3.0,3.0,3.0
